theta_sat,theta_res,vGn_alpha,vGn_n
0.538037,0.024928,-0.400103,2.415039
0.388037,0.074428,-0.895103,1.415039
0.463037,0.099178,-0.152603,1.915039
0.313037,0.049678,-0.647603,2.915039
0.425537,0.062053,-0.523853,1.665039
0.575537,0.012553,-0.028853,2.665039
0.350537,0.037303,-0.771353,2.165039
0.500537,0.086803,-0.276353,1.165039
0.594287,0.080616,-0.833228,2.790039
0.444287,0.031116,-0.338228,1.790039
0.519287,0.006366,-0.585728,1.290039
0.369287,0.055866,-0.090728,2.290039
0.406787,0.043491,-0.214478,1.040039
0.556787,0.092991,-0.709478,2.040039
0.331787,0.068241,-0.461978,2.540039
0.481787,0.018741,-0.956978,1.540039
0.448975,0.048131,-0.972446,1.258789
0.598975,0.097631,-0.477446,2.258789
0.373975,0.072881,-0.724946,2.758789
0.523975,0.023381,-0.229946,1.758789
0.561475,0.085256,-0.106196,2.508789
0.411475,0.035756,-0.601196,1.508789
0.486475,0.011006,-0.353696,1.008789
0.336475,0.060506,-0.848696,2.008789
0.392725,0.054319,-0.291821,1.883789
0.542725,0.004819,-0.786821,2.883789
0.317725,0.029569,-0.044321,2.383789
0.467725,0.079069,-0.539321,1.383789
0.580225,0.017194,-0.663071,2.133789
0.430225,0.066694,-0.168071,1.133789
0.505225,0.091444,-0.910571,1.633789
0.355225,0.041944,-0.415571,2.633789
0.308350,0.094538,-0.570259,1.196289
0.458350,0.045038,-0.075259,2.196289
0.383350,0.020288,-0.817759,2.696289
0.533350,0.069788,-0.322759,1.696289
0.495850,0.032663,-0.446509,2.946289
0.345850,0.082163,-0.941509,1.946289
0.570850,0.057413,-0.199009,1.446289
0.420850,0.007913,-0.694009,2.446289
0.364600,0.001725,-0.137134,1.571289
0.514600,0.051225,-0.632134,2.571289
0.439600,0.075975,-0.384634,2.071289
0.589600,0.026475,-0.879634,1.071289
0.477100,0.063600,-0.755884,2.321289
0.327100,0.014100,-0.260884,1.321289
0.552100,0.038850,-0.508384,1.821289
0.402100,0.088350,-0.013384,2.821289
0.434692,0.094175,-0.011208,1.481934
0.584692,0.044675,-0.506208,2.481934
0.359692,0.019925,-0.258708,2.981934
0.509692,0.069425,-0.753708,1.981934
0.547192,0.032300,-0.877458,2.731934
0.397192,0.081800,-0.382458,1.731934
0.472192,0.057050,-0.629958,1.231934
0.322192,0.007550,-0.134958,2.231934
0.378442,0.001363,-0.691833,1.856934
0.528442,0.050863,-0.196833,2.856934
0.303442,0.075613,-0.939333,2.356934
0.453442,0.026113,-0.444333,1.356934
0.565942,0.063238,-0.320583,2.106934
0.415942,0.013738,-0.815583,1.106934
0.490942,0.038488,-0.073083,1.606934
0.340942,0.087988,-0.568083,2.606934
0.312817,0.047769,-0.413396,1.044434
0.462817,0.097269,-0.908396,2.044434
0.387817,0.072519,-0.165896,2.544434
0.537817,0.023019,-0.660896,1.544434
0.500317,0.084894,-0.537146,2.794434
0.350317,0.035394,-0.042146,1.794434
0.575317,0.010644,-0.784646,1.294434
0.425317,0.060144,-0.289646,2.294434
0.369067,0.053956,-0.846521,1.669434
0.519067,0.004456,-0.351521,2.669434
0.444067,0.029206,-0.599021,2.169434
0.594067,0.078706,-0.104021,1.169434
0.481567,0.016831,-0.227771,2.419434
0.331567,0.066331,-0.722771,1.419434
0.556567,0.091081,-0.475271,1.919434
0.406567,0.041581,-0.970271,2.919434
0.523755,0.024566,-0.954802,2.138184
0.373755,0.074066,-0.459802,1.138184
0.598755,0.098816,-0.707302,1.638184
0.448755,0.049316,-0.212302,2.638184
0.336255,0.061691,-0.088552,1.888184
0.486255,0.012191,-0.583552,2.888184
0.411255,0.036941,-0.336052,2.388184
0.561255,0.086441,-0.831052,1.388184
0.467505,0.080253,-0.274177,2.513184
0.317505,0.030753,-0.769177,1.513184
0.542505,0.006003,-0.026677,1.013184
0.392505,0.055503,-0.521677,2.013184
0.355005,0.043128,-0.645427,1.263184
0.505005,0.092628,-0.150427,2.263184
0.430005,0.067878,-0.892927,2.763184
0.580005,0.018378,-0.397927,1.763184
0.533130,0.070972,-0.614490,2.325684
0.383130,0.021472,-0.119490,1.325684
0.458130,0.046222,-0.861990,1.825684
0.308130,0.095722,-0.366990,2.825684
