theta_sat,theta_res,vGn_alpha,vGn_n
0.327832,0.016952,-0.188857,1.230337
0.508740,0.085546,-0.810991,2.402212
0.390381,0.085933,-0.049155,1.972525
0.572607,0.028892,-0.232847,2.210806
0.373389,0.062150,-0.240581,2.109243
0.458936,0.023091,-0.801323,1.906118
0.415283,0.066887,-0.053989,2.579947
0.550049,0.088930,-0.900903,1.634634
0.310400,0.041557,-0.682407,2.560415
0.504932,0.019127,-0.752017,2.193228
0.407666,0.006366,-0.585728,2.240103
0.595386,0.064784,-0.057615,2.001333
0.343433,0.039648,-0.363123,2.602896
0.469409,0.001169,-0.848455,2.106802
0.438940,0.052990,-0.546814,1.145865
0.538550,0.092822,-0.542947,2.848990
0.333179,0.052119,-0.598054,2.729849
0.517163,0.059467,-0.269343,2.753286
0.375952,0.044578,-0.120457,2.913443
0.570483,0.022149,-0.066316,1.710318
0.360718,0.071262,-0.774011,2.765005
0.464282,0.058355,-0.484456,2.146841
0.423267,0.028578,-0.882776,1.873404
0.561548,0.094320,-0.271760,2.025747
0.307837,0.071697,-0.985256,1.728872
0.491821,0.065123,-0.161545,1.017935
0.398950,0.042983,-0.841204,1.996450
0.582935,0.050331,-0.063899,1.519888
0.355591,0.013979,-0.411946,2.422232
0.481567,0.026548,-0.893411,1.875357
0.447583,0.023841,-0.974622,2.867544
0.529724,0.002752,-0.300402,1.965445
0.319958,0.053412,-0.505363,2.504507
0.514490,0.075842,-0.574972,1.531851
0.387341,0.091504,-0.232726,1.953726
0.578357,0.033110,-0.399015,1.289663
0.365955,0.056796,-0.951056,1.928335
0.451501,0.022378,-0.026798,1.951773
0.421033,0.069558,-0.343907,1.186148
0.547009,0.082513,-0.836974,1.682241
0.316150,0.045775,-0.941388,1.940054
0.497058,0.050560,-0.079489,1.448843
0.410339,0.096193,-0.953473,2.612906
0.594324,0.089619,-0.168434,1.753531
0.340613,0.063902,-0.595758,2.163687
0.475378,0.092133,-0.483610,1.124624
0.431726,0.047757,-0.743678,2.657827
0.541882,0.028421,-0.472975,2.712515
0.332117,0.077534,-0.739811,1.478140
0.521375,0.098610,-0.045651,2.450796
0.381921,0.061099,-0.745612,1.161734
0.562610,0.059963,-0.631288,1.079214
0.363391,0.031345,-0.639022,2.383902
0.463000,0.015490,-0.635155,1.618277
0.427258,0.086453,-0.335448,1.090933
0.554993,0.025738,-0.254237,1.739370
0.300403,0.072434,-0.214598,1.682730
0.494934,0.099505,-0.160458,2.948355
0.397668,0.086743,-0.063778,2.268667
0.586926,0.089256,-0.723134,1.303824
0.349036,0.093510,-0.115985,1.842886
0.487317,0.035503,-0.727001,1.255972
0.443225,0.042318,-0.103900,1.615347
0.528772,0.080604,-0.935345,1.513784
0.324280,0.039805,-0.299193,1.259878
0.508264,0.047152,-0.573763,1.220816
0.393420,0.054113,-0.117435,2.918081
0.574768,0.085341,-0.613402,1.714956
0.372034,0.095009,-0.818363,1.597769
0.455823,0.083214,-0.808695,2.953238
0.414807,0.003937,-0.340765,1.789175
0.553088,0.069679,-0.967250,2.255487
0.311737,0.093347,-0.324390,1.989862
0.502753,0.034953,-0.057554,1.263300
0.403729,0.095474,-0.813589,1.868769
0.598260,0.069951,-0.867730,1.376581
0.346307,0.046361,-0.546754,2.860956
0.471405,0.083776,-0.741080,1.655878
0.437421,0.068694,-0.628931,2.601191
0.535272,0.027508,-0.302154,1.956659
0.336053,0.057672,-0.294420,1.855097
0.520038,0.051098,-0.576724,2.526972
0.377509,0.003483,-0.132481,1.877558
0.568524,0.075026,-0.267833,1.604120
0.357001,0.074060,-0.385782,1.358027
0.467157,0.051630,-0.671954,1.272089
0.426141,0.032681,-0.196290,1.600214
0.558270,0.035291,-0.512432,1.727167
0.306317,0.062748,-0.841143,1.125605
0.488544,0.005707,-0.897217,2.160761
0.401825,0.048246,-0.038702,2.621698
0.585809,0.041672,-0.862413,1.762323
0.351654,0.084622,-0.245838,1.117304
0.479388,0.023907,-0.350252,1.703241
0.448920,0.074180,-0.033143,1.238398
0.532709,0.060839,-0.112420,2.754023
0.322943,0.010952,-0.820115,1.714960
0.511322,0.088006,-0.817215,1.267695
0.385931,0.030385,-0.581317,2.119257
0.580463,0.006408,-0.511707,1.091913
